linearization_wx	id	sentence_wx	sentence	linearization
(nirXAriwa+kara_1:TAM(wA_hE_1):k1(yaha):k1(koRTa_1:attr_gen(m):attr_num(sg):attr_per(a):card(wIna_1)):k2(prArUpa_1:attr_gen(m):attr_num(sg):attr_per(a):r6(parisaMcaraNa_1:r6(vAyumaMdala_1:attr_gen(m):attr_num(sg):attr_per(a)):mod(sAmAnya_1))):CLAUSE_TYPE(affirmative))	Hin_Geo_ncert_11stnd_10ch-bk1_0117	ye wIna koRTa vAyumaMdala ke sAmAnya parisaMcaraNa kA prArUpa nirXAriwa karawe hEM.	ये तीन कोष्ठ वायुमंडल के सामान्य परिसंचरण का प्रारूप निर्धारित करते हैं.	(निर्धारित+कर_1:TAM(ता_है_1):k1(यह):k1(कोष्ठ_1:attr_gen(m):attr_num(sg):attr_per(a):card(तीन_1)):k2(प्रारूप_1:attr_gen(m):attr_num(sg):attr_per(a):r6(परिसंचरण_1:r6(वायुमंडल_1:attr_gen(m):attr_num(sg):attr_per(a)):mod(सामान्य_1))):CLAUSE_TYPE(affirmative))
(banA_1:TAM(wA_hE_1):k7p(akRAMSa_1:attr_gen(m):attr_num(pl):attr_per(a)):k7p(akRAMSa_1:r6(wApIya_1+UrjA_1):mod(nimna_1):mod(ucca_1:attr_gen(m):attr_num(pl):attr_per(a))):k1(sWAnAMwara_1:attr_gen(m):attr_num(pl):attr_per(a)):k2(parisaMcaraNa_1:mod(sAmAnya_1:attr_gen(m):attr_num(pl):attr_per(a))):CLAUSE_TYPE(affirmative))	Hin_Geo_ncert_11stnd_10ch-bk1_0118	wApIya UrjA kA nimna akRAMSoM se ucca akRAMSoM meM sWAnAMwara sAmAnya parisaMcaraNa ko banAye raKawA hE.	तापीय ऊर्जा का निम्न अक्षांशों से उच्च अक्षांशों में स्थानांतर सामान्य परिसंचरण को बनाये रखता है.	(बना_1:TAM(ता_है_1):k7p(अक्षांश_1:attr_gen(m):attr_num(pl):attr_per(a)):k7p(अक्षांश_1:r6(तापीय_1+ऊर्जा_1):mod(निम्न_1):mod(उच्च_1:attr_gen(m):attr_num(pl):attr_per(a))):k1(स्थानांतर_1:attr_gen(m):attr_num(pl):attr_per(a)):k2(परिसंचरण_1:mod(सामान्य_1:attr_gen(m):attr_num(pl):attr_per(a))):CLAUSE_TYPE(affirmative))
(praBAviwa+kara_1:TAM(wA_hE_1):k1(parisaMcaraNa_1:r6(vAyumaMdala_1:attr_gen(m):attr_num(sg):attr_per(a)):mod(sAmAnya_1)):k2(mahAsAgara_1:attr_gen(m):attr_num(pl):attr_per(a):lwg__rp(BI_1)):CLAUSE_TYPE(affirmative))	Hin_Geo_ncert_11stnd_10ch-bk1_0119	vAyumaMdala kA sAmAnya parisaMcaraNa mahAsAgaroM ko BI praBAviwa karawA hE.	वायुमंडल का सामान्य परिसंचरण महासागरों को भी प्रभावित करता है.	(प्रभावित+कर_1:TAM(ता_है_1):k1(परिसंचरण_1:r6(वायुमंडल_1:attr_gen(m):attr_num(sg):attr_per(a)):mod(सामान्य_1)):k2(महासागर_1:attr_gen(m):attr_num(pl):attr_per(a):lwg__rp(भी_1)):CLAUSE_TYPE(affirmative))
(praxAna+kara_1:TAM(wA_hE_1):k4(vAyu_1:attr_gen(f):attr_num(sg):attr_per(a):pof__cn(mahAsAgara_1:attr_gen(m):attr_num(sg):attr_per(a))):k2(va_1:ccof(urjA_1:attr_gen(f):attr_num(sg):attr_per(a)):ccof(jalavARpa_1)):CLAUSE_TYPE(affirmative))	Hin_Geo_ncert_11stnd_10ch-bk1_0121	mahAsAgara vAyu ko urjA va jalavARpa praxAna karawe hEM.	महासागर वायु को उर्जा व जलवाष्प प्रदान करते हैं.	(प्रदान+कर_1:TAM(ता_है_1):k4(वायु_1:attr_gen(f):attr_num(sg):attr_per(a):pof__cn(महासागर_1:attr_gen(m):attr_num(sg):attr_per(a))):k2(व_1:ccof(उर्जा_1:attr_gen(f):attr_num(sg):attr_per(a)):ccof(जलवाष्प_1)):CLAUSE_TYPE(affirmative))
(XIme+ho:TAM(wA_hE_1):k1(aMwarsaMbaMXa_1:nmod__adj(yaha)):k7p(kRewra_1:attr_gen(m):attr_num(pl):attr_per(a):r6(mahAsAgara_1:attr_gen(m):attr_num(pl):attr_per(a)):mod(viswqwa_1)):k1(apekRAkqwa_1):CLAUSE_TYPE(affirmative))	Hin_Geo_ncert_11stnd_10ch-bk1_0122	ye aMwarsaMbaMXa mahAsAgaroM ke viswqwa kRewroM para apekRAkqwa XIme howe hEM.	ये अंतर्संबंध महासागरों के विस्तृत क्षेत्रों पर अपेक्षाकृत धीमे होते हैं.	(धीमे+हो:TAM(ता_है_1):k1(अंतर्संबंध_1:nmod__adj(यह)):k7p(क्षेत्र_1:attr_gen(m):attr_num(pl):attr_per(a):r6(महासागर_1:attr_gen(m):attr_num(pl):attr_per(a)):mod(विस्तृत_1)):k1(अपेक्षाकृत_1):CLAUSE_TYPE(affirmative))
(waWA_1:ccof(aBisaraNa_1:attr_gen(m):attr_num(sg):attr_per(a):r6(pavanA_1:attr_gen(m):attr_num(pl):attr_per(a))):ccof(apasaraNa_1:attr_gen(m):attr_num(sg):attr_per(a)):CLAUSE_TYPE(affirmative))	Hin_Geo_ncert_11stnd_10ch-bk1_0123	pavanoM kA aBisaraNa waWA apasaraNa.	पवनों का अभिसरण तथा अपसरण.	(तथा_1:ccof(अभिसरण_1:attr_gen(m):attr_num(sg):attr_per(a):r6(पवना_1:attr_gen(m):attr_num(pl):attr_per(a))):ccof(अपसरण_1:attr_gen(m):attr_num(sg):attr_per(a)):CLAUSE_TYPE(affirmative))
(parisaMcaraNa_1:r6(vAyumaMdala_1:attr_gen(m):attr_num(sg):attr_per(a)):mod(saralawama_1:mod(sAmAnya_1)):CLAUSE_TYPE(affirmative))	Hin_Geo_ncert_11stnd_10ch-bk1_0124	vAyumaMdala kA saralawama sAmAnya parisaMcaraNa.	वायुमंडल का सरलतम सामान्य परिसंचरण.	(परिसंचरण_1:r6(वायुमंडल_1:attr_gen(m):attr_num(sg):attr_per(a)):mod(सरलतम_1:mod(सामान्य_1)):CLAUSE_TYPE(affirmative))
(A_1:TAM(wA_hE_1):k7(prArUpa_1:attr_gen(m):attr_num(sg):attr_per(a):r6(pravAha_1:attr_gen(m):attr_num(sg):attr_per(a):r6(pavanA_1:attr_gen(m):attr_num(pl):attr_per(a)))):k7(mOsama_1:attr_gen(m):attr_num(pl):attr_per(a):mod(viBinna_1)):k1(baxalAva_1:attr_gen(m):attr_num(sg):attr_per(a)):CLAUSE_TYPE(affirmative))	Hin_Geo_ncert_11stnd_10ch-bk1_0125	pavanoM ke pravAha ke prArUpa meM viBinna mOsamoM meM baxalAva AwA hE.	पवनों के प्रवाह के प्रारूप में विभिन्न मौसमों में बदलाव आता है.	(आ_1:TAM(ता_है_1):k7(प्रारूप_1:attr_gen(m):attr_num(sg):attr_per(a):r6(प्रवाह_1:attr_gen(m):attr_num(sg):attr_per(a):r6(पवना_1:attr_gen(m):attr_num(pl):attr_per(a)))):k7(मौसम_1:attr_gen(m):attr_num(pl):attr_per(a):mod(विभिन्न_1)):k1(बदलाव_1:attr_gen(m):attr_num(sg):attr_per(a)):CLAUSE_TYPE(affirmative))
(ho_1:TAM(wA_hE_1):k1(baxalAva_1:attr_gen(m):attr_num(sg):attr_per(a):nmod__adj(yaha)):k1(wApana_1:nmod__adj(awyaXika_1)):rh(visWApana_1:attr_gen(m):attr_num(sg):attr_per(a):r6(va_1:ccof(pavana:attr_gen(f):attr_num(sg):attr_per(a)):ccof(vAyuxAba_1+pattI_1)):lwg__rp(Axi_1)):CLAUSE_TYPE(affirmative))	Hin_Geo_ncert_11stnd_10ch-bk1_0126	yaha baxalAva awyaXika wApana, pavana va vAyuxAba pattiyoM ke visWApana Axi ke kAraNa howA hE.	यह बदलाव अत्यधिक तापन, पवन व वायुदाब पट्टियों के विस्थापन आदि के कारण होता है.	(हो_1:TAM(ता_है_1):k1(बदलाव_1:attr_gen(m):attr_num(sg):attr_per(a):nmod__adj(यह)):k1(तापन_1:nmod__adj(अत्यधिक_1)):rh(विस्थापन_1:attr_gen(m):attr_num(sg):attr_per(a):r6(व_1:ccof(पवन:attr_gen(f):attr_num(sg):attr_per(a)):ccof(वायुदाब_1+पट्टी_1)):lwg__rp(आदि_1)):CLAUSE_TYPE(affirmative))
(xeKA_1:TAM(0_sakawA_hE_1):k2(praBAva_1:attr_gen(m):attr_num(sg):attr_per(a):r6(visWApana_1:attr_gen(m):attr_num(sg):attr_per(a):nmod__adj(Ese)):nmod__adj(aXika_1:jjmod__intf(sabasA_1)):mod(spaRta_1)):adv(viSeRakara_1):k7p(eSiyA:attr_gen(m):attr_num(sg):attr_per(a):pof__cn(xakRiNa_1:attr_ne(loc)):pof__cn(pUrva_1)):k7(baxalAva_1:attr_gen(m):attr_num(sg):attr_per(a):r6(mAnasUna_1+pavanA_1)):CLAUSE_TYPE(affirmative))	Hin_Geo_ncert_11stnd_10ch-bk1_0127	Ese visWApana kA sabase aXika spaRta praBAva viSeRakara xakRiNa pUrva eSiyA meM mAnasUna pavanoM ke baxalAva meM xeKA jA sakawA hE.	ऐसे विस्थापन का सबसे अधिक स्पष्ट प्रभाव विशेषकर दक्षिण पूर्व एशिया में मानसून पवनों के बदलाव में देखा जा सकता है.	(देखा_1:TAM(0_सकता_है_1):k2(प्रभाव_1:attr_gen(m):attr_num(sg):attr_per(a):r6(विस्थापन_1:attr_gen(m):attr_num(sg):attr_per(a):nmod__adj(ऐसे)):nmod__adj(अधिक_1:jjmod__intf(सबसा_1)):mod(स्पष्ट_1)):adv(विशेषकर_1):k7p(एशिया:attr_gen(m):attr_num(sg):attr_per(a):pof__cn(दक्षिण_1:attr_ne(loc)):pof__cn(पूर्व_1)):k7(बदलाव_1:attr_gen(m):attr_num(sg):attr_per(a):r6(मानसून_1+पवना_1)):CLAUSE_TYPE(affirmative))
(paDZa_1:TAM(gA_1):k1(addressee:attr_gen(-):attr_num(-):attr_per(m)):k7(viRaya_1:attr_gen(m):attr_num(sg):attr_per(a):r6(mAnasUna_1:attr_gen(m):attr_num(sg):attr_per(a))):k1(viswAra_1:attr_gen(m):attr_num(sg):attr_per(a)):k7(pUrvaka_1):CLAUSE_TYPE(affirmative))	Hin_Geo_ncert_11stnd_10ch-bk1_0128	Apa mAnasUna ke viRaya meM viswAra pUrvaka meM paDZeMge.	आप मानसून के विषय में विस्तार पूर्वक में पढ़ेंगे.	(पढ़_1:TAM(गा_1):k1(addressee:attr_gen(-):attr_num(-):attr_per(m)):k7(विषय_1:attr_gen(m):attr_num(sg):attr_per(a):r6(मानसून_1:attr_gen(m):attr_num(sg):attr_per(a))):k1(विस्तार_1:attr_gen(m):attr_num(sg):attr_per(a)):k7(पूर्वक_1):CLAUSE_TYPE(affirmative))
(hE_1:TAM(0_hE_1):k1(visaMgawi_1:attr_gen(f):attr_num(pl):attr_per(a):mod(Binna_1:jjmod(parisaMcaraNa_1+praNAlI_1:mod(sAmAnya_1))):mod(anya_1:mod(sWAnIya_1))):mod(varNiwa_1):CLAUSE_TYPE(affirmative))	Hin_Geo_ncert_11stnd_10ch-bk1_0129	sAmAnya parisaMcaraNa praNAlI se Binna anya sWAnIya visaMgawiyAz nIce varNiwa hEM.	सामान्य परिसंचरण प्रणाली से भिन्न अन्य स्थानीय विसंगतियाँ नीचे वर्णित हैं.	(है_1:TAM(0_है_1):k1(विसंगति_1:attr_gen(f):attr_num(pl):attr_per(a):mod(भिन्न_1:jjmod(परिसंचरण_1+प्रणाली_1:mod(सामान्य_1))):mod(अन्य_1:mod(स्थानीय_1))):mod(वर्णित_1):CLAUSE_TYPE(affirmative))
(praBAva_1:attr_gen(m):attr_num(sg):attr_per(a):r6(Ora_1:ccof(parisaMcaraNa_1:r6(vAyumaMdala_1:attr_gen(m):attr_num(sg):attr_per(a)):mod(sAmAnya_1)):ccof(mahAsAgara_1:attr_gen(m):attr_num(pl):attr_per(a):r6(vaha:attr_gen(-):attr_num(sg):attr_per(a)))):CLAUSE_TYPE(affirmative))	Hin_Geo_ncert_11stnd_10ch-bk1_0130	vAyumaMdala kA sAmAnya parisaMcaraNa Ora usakA mahAsAgaroM para praBAva.	वायुमंडल का सामान्य परिसंचरण और उसका महासागरों पर प्रभाव.	(प्रभाव_1:attr_gen(m):attr_num(sg):attr_per(a):r6(और_1:ccof(परिसंचरण_1:r6(वायुमंडल_1:attr_gen(m):attr_num(sg):attr_per(a)):mod(सामान्य_1)):ccof(महासागर_1:attr_gen(m):attr_num(pl):attr_per(a):r6(वह:attr_gen(-):attr_num(sg):attr_per(a)))):CLAUSE_TYPE(affirmative))
(hE_1:TAM(0_hE_1):k7(saMxarBa_1:attr_gen(m):attr_num(sg):attr_per(a):r6(parisaMcaraNa_1:r6(vAyumaMdala_1:attr_gen(m):attr_num(sg):attr_per(a)):mod(sAmAnya_1))):k1(ho_1-yA_1-yA_1:k1(mahAsAgara:attr_gen(m):attr_num(sg):attr_per(a):pof__cn(praSAMwa_1:attr_ne(loc):attr_gen(m):attr_num(sg):attr_per(a))):k1s(yA_1:mod(garma_1):mod(TaMdA_1))):mod(mahawvapUrNa_1:jjmod__intf(awyaXika_1)):CLAUSE_TYPE(affirmative))	Hin_Geo_ncert_11stnd_10ch-bk1_0131	vAyumaMdala ke sAmAnya parisaMcaraNa ke saMxarBa meM praSAMwa mahAsAgara kA garma yA TaMdA honA awyaXika mahawvapUrNa hE.	वायुमंडल के सामान्य परिसंचरण के संदर्भ में प्रशांत महासागर का गर्म या ठंडा होना अत्यधिक महत्वपूर्ण है.	(है_1:TAM(0_है_1):k7(संदर्भ_1:attr_gen(m):attr_num(sg):attr_per(a):r6(परिसंचरण_1:r6(वायुमंडल_1:attr_gen(m):attr_num(sg):attr_per(a)):mod(सामान्य_1))):k1(हो_1-या_1-या_1:k1(महासागर:attr_gen(m):attr_num(sg):attr_per(a):pof__cn(प्रशांत_1:attr_ne(loc):attr_gen(m):attr_num(sg):attr_per(a))):k1s(या_1:mod(गर्म_1):mod(ठंडा_1))):mod(महत्वपूर्ण_1:jjmod__intf(अत्यधिक_1)):CLAUSE_TYPE(affirmative))
(kahalA_1:TAM(wA_hE_1):k7p(wata_1:attr_gen(m):attr_num(sg):attr_per(a):r6(pIrU)):k1(upasWiwi_1:attr_gen(f):attr_num(sg):attr_per(a):r6(XArA_1:attr_gen(f):attr_num(pl):attr_per(a):nmod__adj(yaha):mod(garma_1))):k1s(elanino_1):CLAUSE_TYPE(affirmative))	Hin_Geo_ncert_11stnd_10ch-bk1_0133	pIrU ke wata para ina garma XArAoM kI upasWiwi ela-nino kahalAwA hE.	पीरू के तट पर इन गर्म धाराओं की उपस्थिति एल-निनो कहलाता है.	(कहला_1:TAM(ता_है_1):k7p(तट_1:attr_gen(m):attr_num(sg):attr_per(a):r6(पीरू)):k1(उपस्थिति_1:attr_gen(f):attr_num(sg):attr_per(a):r6(धारा_1:attr_gen(f):attr_num(pl):attr_per(a):nmod__adj(यह):mod(गर्म_1))):k1s(एलनिनो_1):CLAUSE_TYPE(affirmative))
(hE_1:TAM(0_hE_1):k1(maXyapraSAMwa_1:attr_ne(loc):r6(GatanA_1:attr_gen(f):attr_num(sg):attr_per(a):nmod__adj(elanino))):ras-k1(vAyuxAba_1+parivarwana_1:r6(Ora_1:attr_ne(loc):ccof(mahAsAgara:attr_gen(m):attr_num(sg):attr_per(a)):ccof(AstreliyA:attr_gen(m):attr_num(sg):attr_per(a)))):k1(saMbaMXa_1:attr_gen(m):attr_num(sg):attr_per(a):mod(gaharA_1)):CLAUSE_TYPE(affirmative))	Hin_Geo_ncert_11stnd_10ch-bk1_0134	ela-nino GatanA kA maXyapraSAMwa mahAsAgara Ora AstreliyA ke vAyuxAba parivarwana se gaharA saMbaMXa hE.	एल-निनो घटना का मध्यप्रशांत महासागर और आस्ट्रेलिया के वायुदाब परिवर्तन से गहरा संबंध है.	(है_1:TAM(0_है_1):k1(मध्यप्रशांत_1:attr_ne(loc):r6(घटना_1:attr_gen(f):attr_num(sg):attr_per(a):nmod__adj(एलनिनो))):ras-k1(वायुदाब_1+परिवर्तन_1:r6(और_1:attr_ne(loc):ccof(महासागर:attr_gen(m):attr_num(sg):attr_per(a)):ccof(आस्ट्रेलिया:attr_gen(m):attr_num(sg):attr_per(a)))):k1(संबंध_1:attr_gen(m):attr_num(sg):attr_per(a):mod(गहरा_1)):CLAUSE_TYPE(affirmative))
(xolana+kahalA:TAM(wA_hE_1):k7p(mahAsAgara:attr_gen(m):attr_num(sg):attr_per(a):pof__cn(praSAMwa_1:attr_ne(loc):attr_gen(m):attr_num(sg):attr_per(a))):k7(vAyuxAba_1):k1(parivarwana_1:attr_gen(m):attr_num(sg):attr_per(a):nmod__adj(yaha)):mod(xakRiNI_1):CLAUSE_TYPE(affirmative))	Hin_Geo_ncert_11stnd_10ch-bk1_0135	praSAMwa mahAsAgara para vAyuxAba meM yaha parivarwana xakRiNI xolana kahalAwA hE.	प्रशांत महासागर पर वायुदाब में यह परिवर्तन दक्षिणी दोलन कहलाता है.	(दोलन+कहला:TAM(ता_है_1):k7p(महासागर:attr_gen(m):attr_num(sg):attr_per(a):pof__cn(प्रशांत_1:attr_ne(loc):attr_gen(m):attr_num(sg):attr_per(a))):k7(वायुदाब_1):k1(परिवर्तन_1:attr_gen(m):attr_num(sg):attr_per(a):nmod__adj(यह)):mod(दक्षिणी_1):CLAUSE_TYPE(affirmative))
(prayoga+kara_1:TAM(wA_hE_1):k2(yaha:attr_gen(-):attr_num(pl):attr_per(a)):r6(GatanA_1:attr_gen(f):attr_num(pl):attr_per(a)):adv(XyAnapUrvaka_1):k3(Akalana_1:attr_gen(m):attr_num(sg):attr_per(a)):k7(BaviRyavANI_1:attr_gen(f):attr_num(sg):attr_per(a):mod(saMbaMXI_1:jjmod(mOsama_1:attr_gen(m):attr_num(sg):attr_per(a):r6(BAga_1:attr_gen(m):attr_num(pl):attr_per(a):r6(saMsAra_1:attr_gen(m):attr_num(sg):attr_per(a)):mod(anya_1))))):k2(yaha:attr_gen(-):attr_num(pl):attr_per(a)):CLAUSE_TYPE(affirmative))	Hin_Geo_ncert_11stnd_10ch-bk1_0139	ina GatanAoM ke XyAnapUrvaka Akalana se saMsAra ke anya BAgoM kI mOsama saMbaMXI BaviRyavANI ke rUpa meM inakA prayoga kiyA jAwA hE.	इन घटनाओं के ध्यानपूर्वक आकलन से संसार के अन्य भागों की मौसम संबंधी भविष्यवाणी के रूप में इनका प्रयोग किया जाता है.	(प्रयोग+कर_1:TAM(ता_है_1):k2(यह:attr_gen(-):attr_num(pl):attr_per(a)):r6(घटना_1:attr_gen(f):attr_num(pl):attr_per(a)):adv(ध्यानपूर्वक_1):k3(आकलन_1:attr_gen(m):attr_num(sg):attr_per(a)):k7(भविष्यवाणी_1:attr_gen(f):attr_num(sg):attr_per(a):mod(संबंधी_1:jjmod(मौसम_1:attr_gen(m):attr_num(sg):attr_per(a):r6(भाग_1:attr_gen(m):attr_num(pl):attr_per(a):r6(संसार_1:attr_gen(m):attr_num(sg):attr_per(a)):mod(अन्य_1))))):k2(यह:attr_gen(-):attr_num(pl):attr_per(a)):CLAUSE_TYPE(affirmative))
(pravAhiwa+ho:TAM(yA_1_hEM):k1(BUwala_1:attr_gen(m):attr_num(sg):attr_per(a)):k7(waWA_1:ccof(BinnawA_1):ccof(vikAsa_1)):k1(pavana_1:nmod(va_1):nmod(va_1):nmod(bahuwa_1:lwg__rp(sI_1)):nmod(va_1:attr_gen(m):attr_num(sg):attr_per(a):mod(garma_1):mod(TaMdA_1):ccof(xEnika_1:attr_gen(f):attr_num(sg):attr_per(a)):ccof(cakra_1:mod(vArRika_1:attr_gen(m):attr_num(sg):attr_per(a))):mod(sWAnIya_1:attr_gen(m):attr_num(pl):attr_per(a)):mod(kRewrIya_1))):CLAUSE_TYPE(affirmative))	Hin_Geo_ncert_11stnd_10ch-bk1_0140	BUwala ke garma va TaMde hone se BinnawA waWA xEnika va vArRika cakroM ke vikAsa se bahuwa sI sWAnIya va kRewrIya pavaneM pravAhiwa howI hEM.	भूतल के गर्म व ठंडे होने से भिन्नता तथा दैनिक व वार्षिक चक्रों के विकास से बहुत सी स्थानीय व क्षेत्रीय पवनें प्रवाहित होती हैं.	(प्रवाहित+हो:TAM(या_1_हैं):k1(भूतल_1:attr_gen(m):attr_num(sg):attr_per(a)):k7(तथा_1:ccof(भिन्नता_1):ccof(विकास_1)):k1(पवन_1:nmod(व_1):nmod(व_1):nmod(बहुत_1:lwg__rp(सी_1)):nmod(व_1:attr_gen(m):attr_num(sg):attr_per(a):mod(गर्म_1):mod(ठंडा_1):ccof(दैनिक_1:attr_gen(f):attr_num(sg):attr_per(a)):ccof(चक्र_1:mod(वार्षिक_1:attr_gen(m):attr_num(sg):attr_per(a))):mod(स्थानीय_1:attr_gen(m):attr_num(pl):attr_per(a)):mod(क्षेत्रीय_1))):CLAUSE_TYPE(affirmative))
(garma+ho:TAM(wA_hE_1):k7t(xina_1:attr_ne(per):attr_gen(m):attr_num(sg):attr_per(a)):k1(BAga_1:attr_gen(m):attr_num(sg):attr_per(a):nmod__adj(sWala_1:attr_gen(m):attr_num(sg):attr_per(a))):k1(apekRA_1:r6(samuxra_1:attr_gen(m):attr_num(sg):attr_per(a))):nmod__adj(aXika_1):CLAUSE_TYPE(affirmative))	Hin_Geo_ncert_11stnd_10ch-bk1_0142	xina ke xOrAna sWala BAga samuxra kI apekRA aXika garma ho jAwe hEM.	दिन के दौरान स्थल भाग समुद्र की अपेक्षा अधिक गर्म हो जाते हैं.	(गर्म+हो:TAM(ता_है_1):k7t(दिन_1:attr_ne(per):attr_gen(m):attr_num(sg):attr_per(a)):k1(भाग_1:attr_gen(m):attr_num(sg):attr_per(a):nmod__adj(स्थल_1:attr_gen(m):attr_num(sg):attr_per(a))):k1(अपेक्षा_1:r6(समुद्र_1:attr_gen(m):attr_num(sg):attr_per(a))):nmod__adj(अधिक_1):CLAUSE_TYPE(affirmative))
(ho_1:TAM(wA_hE_1):k7t(rAwri_1:attr_gen(f):attr_num(sg):attr_per(a)):r6(yaha:attr_gen(-):attr_num(sg):attr_per(a)):adv(ekaxama_1):k1(prakriyA_1:attr_gen(f):attr_num(sg):attr_per(a):mod(viparIwa_1)):CLAUSE_TYPE(affirmative))	Hin_Geo_ncert_11stnd_10ch-bk1_0145	rAwri meM isake ekaxama viparIwa prakriyA howI hE.	रात्रि में इसके एकदम विपरीत प्रक्रिया होती है.	(हो_1:TAM(ता_है_1):k7t(रात्रि_1:attr_gen(f):attr_num(sg):attr_per(a)):r6(यह:attr_gen(-):attr_num(sg):attr_per(a)):adv(एकदम_1):k1(प्रक्रिया_1:attr_gen(f):attr_num(sg):attr_per(a):mod(विपरीत_1)):CLAUSE_TYPE(affirmative))
(TaMdA+ho:TAM(wA_hE_1):k1(apekRA_1:r6(samuxra_1:attr_gen(m):attr_num(sg):attr_per(a):mod(sWala_1:attr_gen(m):attr_num(sg):attr_per(a)))):adv(jalxI_1):CLAUSE_TYPE(affirmative))	Hin_Geo_ncert_11stnd_10ch-bk1_0146	sWala samuxra kI apekRA jalxI TaMdA howA hE.	स्थल समुद्र की अपेक्षा जल्दी ठंडा होता है.	(ठंडा+हो:TAM(ता_है_1):k1(अपेक्षा_1:r6(समुद्र_1:attr_gen(m):attr_num(sg):attr_per(a):mod(स्थल_1:attr_gen(m):attr_num(sg):attr_per(a)))):adv(जल्दी_1):CLAUSE_TYPE(affirmative))
(pravAhiwa+ho:TAM(yA_1_hE):attr_gen(m):attr_num(sg):attr_per(a):k1(xAba_1:attr_ne(per):attr_gen(m):attr_num(sg):attr_per(a)):rd(samuxra_1:attr_gen(m):attr_num(sg):attr_per(a)):k1(samIra:attr_ne(per):attr_gen(m):attr_num(sg):attr_per(a):nmod__adj(sWala_1:attr_gen(m):attr_num(sg):attr_per(a)):nmod__adj(sWala_1:mod(pravaNawA_1))):CLAUSE_TYPE(affirmative))	Hin_Geo_ncert_11stnd_10ch-bk1_0147	xAba pravaNawA sWala se samuxra kI waraPa hone para sWala samIra pravAhiwa howI hE.	दाब प्रवणता स्थल से समुद्र की तरफ होने पर स्थल समीर प्रवाहित होती है.	(प्रवाहित+हो:TAM(या_1_है):attr_gen(m):attr_num(sg):attr_per(a):k1(दाब_1:attr_ne(per):attr_gen(m):attr_num(sg):attr_per(a)):rd(समुद्र_1:attr_gen(m):attr_num(sg):attr_per(a)):k1(समीर:attr_ne(per):attr_gen(m):attr_num(sg):attr_per(a):nmod__adj(स्थल_1:attr_gen(m):attr_num(sg):attr_per(a)):nmod__adj(स्थल_1:mod(प्रवणता_1))):CLAUSE_TYPE(affirmative))
(kaha_1:TAM(wA_hE_1):k2(pavanA_1:attr_gen(m):attr_num(pl):attr_per(a):nmod__adj(yaha)):k2s(samIra_1:attr_ne(per):attr_gen(m):attr_num(sg):attr_per(a):nmod__adj(GAtI_1:attr_gen(f):attr_num(sg):attr_per(a))):CLAUSE_TYPE(affirmative))	Hin_Geo_ncert_11stnd_10ch-bk1_0149	ina pavanoM ko GAtI samIra kahawe hEM.	इन पवनों को घाटी समीर कहते हैं.	(कह_1:TAM(ता_है_1):k2(पवना_1:attr_gen(m):attr_num(pl):attr_per(a):nmod__adj(यह)):k2s(समीर_1:attr_ne(per):attr_gen(m):attr_num(sg):attr_per(a):nmod__adj(घाटी_1:attr_gen(f):attr_num(sg):attr_per(a))):CLAUSE_TYPE(affirmative))
(kaha_1:TAM(wA_hE_1):k2(vAyu_1:attr_gen(f):attr_num(sg):attr_per(a):nmod(baha_1-yA_1-yA_1:k5(kRewra_1:attr_gen(m):attr_num(pl):attr_per(a):r6(va_1:ccof(paTAra_1:attr_gen(m):attr_num(pl):attr_per(a):mod(ucca_1)):ccof(hima))):k7p(GAtI_1:attr_gen(f):attr_num(sg):attr_per(a))):mod(TaMdA_1)):k1(pavana_1:attr_gen(f):attr_num(pl):attr_per(a):mod(avarohI_1)):CLAUSE_TYPE(affirmative))	Hin_Geo_ncert_11stnd_10ch-bk1_0151	ucca paTAroM va hima kRewroM se GAtI meM bahane vAlI TaMdI vAyu ko avarohI pavaneM kahawe hEM.	उच्च पठारों व हिम क्षेत्रों से घाटी में बहने वाली ठंडी वायु को अवरोही पवनें कहते हैं.	(कह_1:TAM(ता_है_1):k2(वायु_1:attr_gen(f):attr_num(sg):attr_per(a):nmod(बह_1-या_1-या_1:k5(क्षेत्र_1:attr_gen(m):attr_num(pl):attr_per(a):r6(व_1:ccof(पठार_1:attr_gen(m):attr_num(pl):attr_per(a):mod(उच्च_1)):ccof(हिम))):k7p(घाटी_1:attr_gen(f):attr_num(sg):attr_per(a))):mod(ठंडा_1)):k1(पवन_1:attr_gen(f):attr_num(pl):attr_per(a):mod(अवरोही_1)):CLAUSE_TYPE(affirmative))
